axis_1	axis_2	id	name	party	info
13.72748925251083	3.878543946617148	220	George Pau-Langevin	PS	PS
9.36191790034007	-3.468232171957256	222	Gilles Carrez	LR	LR
-10.979233770912884	1.3464387403951004	223	Gilles Le Gendre	LREM	LREM
15.21829626811338	-13.031249462278955	224	Gilles Lurton	LR	LR
18.506381694875255	4.20509300816325	225	Gisèle Biémouret	PS	PS
-9.722678198277269	-2.158204973800254	226	Graziella Melchior	LREM	LREM
-5.4785583711617925	-1.477161137815801	227	Grégory Besson-Moreau	LREM	LREM
-6.484061657687792	0.8720409160763137	230	Guillaume Chiche	Non Inscrits	Non Inscrits
14.179929877037878	4.315113325679313	231	Guillaume Garot	PS	PS
-9.349532703060357	-1.6109985979776533	232	Guillaume Gouffier-Cha	LREM	LREM
-11.198566630401	1.1182230716759607	233	Guillaume Kasbarian	LREM	LREM
10.145673749973383	-7.707330122170509	234	Guillaume Larrivé	LR	LR
10.535770228655826	-5.414535105605043	235	Guillaume Peltier	LR	LR
-9.57122242158094	1.4341975885256915	236	Guillaume Vuilletet	LREM	LREM
6.37170597395383	-3.635348754500389	237	Guy Bricout	UDI	UDI
8.574549490646268	-3.560238280445669	238	Guy Teissier	LR	LR
-1.754974714364738	-0.05663811191022381	239	Gwendal Rouillard	LREM	LREM
-9.870660985563147	1.0685293374255325	240	Géraldine Bannier		
10.597744673039726	-5.465645250974984	241	Gérard Cherpion	LR	LR
11.277151273637577	-5.612843384106695	243	Gérard Menuel	LR	LR
-8.49101716558025	0.46926037266888054	244	Hervé Berville	LREM	LREM
-4.9161788463932	-0.674994405955149	245	Hervé Pellois	LREM	LREM
16.499380305182942	3.345500357625621	246	Hervé Saulignac	PS	PS
-5.198639848301232	5.70287260154395	247	Hubert Julien-Laferriere	LREM	LREM
22.52245735600859	10.32410391846614	249	Hubert Wulfranc	Divers Gauche	Divers Gauche
-7.273379627088663	-0.2190185412996669	250	Hugues Renson	LREM	LREM
15.310769835144814	7.104024152484366	251	Huguette Bello	Divers Gauche	Divers Gauche
-14.547504169385448	-0.09957888145893756	252	Huguette Tiegna	LREM	LREM
12.836930430564975	2.828758258377272	253	Hélène Vainqueur-Christophe	PS	PS
-10.825175860752754	1.9295647097787028	254	Hélène Zannier	LREM	LREM
12.141520012303271	-5.46992738015736	255	Ian Boucard	LR	LR
-9.515175780478625	1.1368139473595176	256	Isabelle Florennes		
-8.818016504223944	-1.5504038289088982	258	Isabelle Rauch	LREM	LREM
